time,day_type,weather,event_day,passengers,flight_count,avg_luggage,crowd
18,Weekend,Fog,1,2355,47,2,High
11,Weekday,Clear,0,575,11,2,Low
10,Weekday,Fog,0,812,16,2,Medium
22,Weekend,Rain,1,1283,25,4,Medium
3,Weekend,Rain,1,1053,21,1,Medium
23,Weekend,Fog,0,650,13,3,Low
4,Weekday,Clear,1,849,16,4,Medium
13,Weekday,Rain,1,565,11,2,Low
21,Weekend,Fog,0,1735,34,3,High
12,Weekend,Clear,1,1467,29,2,Medium
2,Weekend,Fog,1,767,15,2,Medium
11,Weekend,Fog,0,913,18,1,Medium
21,Weekend,Rain,0,1820,36,4,High
8,Weekday,Rain,1,1436,28,1,Medium
22,Weekday,Rain,0,719,14,4,Medium
22,Weekday,Clear,0,808,16,1,Medium
16,Weekend,Fog,0,511,10,3,Low
4,Weekend,Clear,0,1062,21,3,Medium
15,Weekday,Clear,0,820,16,4,Medium
20,Weekend,Clear,0,1883,37,3,High
7,Weekend,Rain,1,2294,45,3,High
5,Weekend,Rain,0,461,9,4,Low
1,Weekend,Rain,1,1115,22,2,Medium
16,Weekday,Rain,0,227,4,3,Low
21,Weekend,Fog,1,2398,47,1,High
13,Weekday,Clear,1,1042,20,4,Medium
17,Weekend,Rain,1,1679,33,4,High
6,Weekend,Rain,0,2175,43,3,High
20,Weekday,Rain,0,1841,36,4,High
17,Weekday,Fog,1,1554,31,3,High
17,Weekend,Clear,0,1856,37,2,High
4,Weekend,Fog,1,857,17,2,Medium
16,Weekday,Clear,1,942,18,4,Medium
21,Weekend,Clear,0,1853,37,1,High
22,Weekend,Rain,0,908,18,3,Medium
23,Weekday,Rain,1,563,11,4,Low
19,Weekday,Fog,1,1691,33,3,High
19,Weekday,Fog,1,1759,35,3,High
17,Weekend,Fog,1,1974,39,1,High
6,Weekday,Fog,0,1407,28,1,Medium
12,Weekend,Fog,0,543,10,3,Low
9,Weekday,Rain,1,1320,26,2,Medium
14,Weekend,Fog,0,337,6,2,Low
10,Weekend,Clear,0,1770,35,2,High
13,Weekday,Clear,0,830,16,2,Medium
7,Weekday,Fog,1,1788,35,1,High
10,Weekday,Rain,1,2224,44,4,High
5,Weekend,Fog,1,1177,23,3,Medium
23,Weekend,Clear,0,657,13,3,Low
3,Weekend,Fog,1,1157,23,2,Medium
22,Weekday,Fog,0,583,11,1,Low
21,Weekday,Fog,1,1192,23,1,Medium
0,Weekday,Clear,0,968,19,1,Medium
8,Weekend,Fog,1,1801,36,2,High
