time,day_type,weather,event_day,passengers,flight_count,avg_luggage,crowd
13,Weekday,Clear,0,625,12,4,Low
18,Weekday,Clear,1,1724,34,3,High
8,Weekend,Clear,1,2143,42,1,High
16,Weekday,Fog,0,220,4,2,Low
6,Weekend,Fog,0,1530,30,3,High
20,Weekend,Clear,1,2738,54,1,High
10,Weekday,Fog,1,1530,30,1,High
15,Weekday,Rain,0,271,5,3,Low
7,Weekend,Clear,1,1879,37,3,High
20,Weekday,Fog,1,1437,28,4,Medium
3,Weekend,Fog,1,796,15,2,Medium
19,Weekend,Clear,0,1524,30,3,High
6,Weekend,Fog,0,1440,28,1,Medium
8,Weekday,Fog,1,2034,40,2,High
22,Weekend,Clear,1,1516,30,1,High
20,Weekday,Fog,1,1868,37,1,High
3,Weekday,Clear,0,763,15,3,Medium
5,Weekday,Fog,1,764,15,1,Medium
21,Weekday,Fog,1,1326,26,2,Medium
17,Weekend,Fog,0,1604,32,3,High
19,Weekend,Rain,0,1828,36,4,High
21,Weekend,Rain,0,1958,39,2,High
17,Weekend,Fog,1,1813,36,4,High
4,Weekend,Clear,1,1037,20,3,Medium
9,Weekday,Fog,0,931,18,1,Medium
6,Weekend,Rain,0,1498,29,3,Medium
9,Weekend,Rain,0,1658,33,3,High
0,Weekend,Fog,1,1121,22,4,Medium
22,Weekday,Clear,1,1103,22,4,Medium
14,Weekday,Fog,0,564,11,1,Low
20,Weekend,Clear,1,2289,45,2,High
9,Weekday,Clear,1,1485,29,3,Medium
13,Weekday,Rain,0,181,3,1,Low
7,Weekday,Clear,1,2318,46,3,High
12,Weekday,Rain,0,343,6,4,Low
17,Weekday,Fog,0,833,16,1,Medium
12,Weekend,Rain,0,870,17,3,Medium
19,Weekend,Fog,1,2431,48,2,High
0,Weekend,Clear,0,1264,25,4,Medium
0,Weekend,Rain,0,882,17,1,Medium
6,Weekday,Clear,1,2087,41,3,High
12,Weekend,Fog,1,1215,24,2,Medium
14,Weekend,Rain,0,582,11,4,Low
0,Weekend,Clear,1,996,19,2,Medium
8,Weekend,Fog,1,2204,44,2,High
23,Weekday,Clear,0,393,7,3,Low
14,Weekend,Rain,0,922,18,2,Medium
1,Weekday,Fog,1,1062,21,4,Medium
22,Weekend,Rain,0,1032,20,3,Medium
10,Weekday,Rain,0,1658,33,1,High
12,Weekend,Fog,1,1124,22,3,Medium
22,Weekday,Clear,0,726,14,4,Medium
20,Weekend,Clear,0,2264,45,1,High
12,Weekend,Clear,0,979,19,4,Medium
16,Weekend,Clear,0,756,15,1,Medium
3,Weekday,Rain,1,901,18,1,Medium
17,Weekday,Fog,1,1518,30,4,High
10,Weekday,Clear,0,1559,31,4,High
11,Weekend,Rain,1,1443,28,1,Medium
6,Weekend,Fog,1,2411,48,1,High
14,Weekday,Rain,0,144,2,2,Low
3,Weekday,Rain,1,595,11,3,Low
6,Weekend,Fog,0,1612,32,3,High
7,Weekday,Fog,0,1555,31,4,High
20,Weekday,Fog,0,872,17,2,Medium
1,Weekend,Clear,0,625,12,4,Low
3,Weekend,Rain,1,1379,27,4,Medium
22,Weekday,Fog,1,815,16,4,Medium
9,Weekend,Rain,1,2128,42,4,High
15,Weekday,Rain,1,553,11,2,Low
19,Weekday,Clear,0,1211,24,2,Medium
3,Weekend,Clear,0,835,16,4,Medium
6,Weekend,Fog,1,1997,39,1,High
11,Weekday,Clear,1,843,16,4,Medium
6,Weekend,Fog,1,1614,32,2,High
15,Weekend,Rain,1,1327,26,4,Medium
10,Weekend,Fog,0,1400,28,2,Medium
7,Weekend,Clear,0,1488,29,1,Medium
9,Weekend,Fog,0,1104,22,1,Medium
7,Weekend,Rain,1,2437,48,2,High
15,Weekday,Fog,0,116,2,4,Low
13,Weekend,Clear,1,1616,32,1,High
23,Weekday,Clear,0,790,15,3,Medium
13,Weekend,Rain,0,1041,20,2,Medium
20,Weekday,Rain,0,1023,20,3,Medium
6,Weekday,Clear,1,2109,42,3,High
23,Weekend,Clear,1,1560,31,2,High
5,Weekday,Fog,0,382,7,4,Low
7,Weekend,Rain,1,2093,41,1,High
6,Weekend,Fog,0,2001,40,1,High
1,Weekend,Rain,1,850,17,1,Medium
6,Weekday,Clear,0,1541,30,1,High
15,Weekday,Fog,1,997,19,3,Medium
18,Weekend,Rain,1,1859,37,2,High
18,Weekday,Fog,1,2184,43,2,High
22,Weekday,Fog,1,944,18,4,Medium
21,Weekend,Clear,1,2095,41,1,High
7,Weekend,Clear,0,2288,45,3,High
19,Weekend,Rain,0,2053,41,4,High
7,Weekday,Clear,0,1252,25,1,Medium
13,Weekend,Rain,0,872,17,3,Medium
9,Weekend,Clear,0,1677,33,2,High
13,Weekday,Fog,1,862,17,1,Medium
7,Weekday,Clear,0,1883,37,1,High
