time,day_type,weather,event_day,passengers,flight_count,avg_luggage,crowd
16,Weekend,Rain,1,1517,30,4,High
11,Weekday,Clear,0,399,7,4,Low
23,Weekend,Rain,0,989,19,4,Medium
18,Weekday,Clear,0,1249,24,1,Medium
21,Weekday,Rain,0,1646,32,1,High
17,Weekday,Clear,0,1997,39,2,High
21,Weekend,Clear,0,2205,44,2,High
19,Weekend,Rain,1,1770,35,3,High
13,Weekend,Fog,1,1434,28,2,Medium
17,Weekday,Clear,0,1309,26,3,Medium
10,Weekday,Fog,1,1290,25,1,Medium
6,Weekend,Rain,0,1553,31,3,High
11,Weekday,Rain,1,1163,23,2,Medium
13,Weekday,Clear,0,655,13,1,Low
0,Weekend,Rain,1,1161,23,1,Medium
20,Weekday,Fog,1,1800,36,2,High
20,Weekend,Fog,1,1788,35,3,High
3,Weekday,Rain,0,842,16,2,Medium
11,Weekend,Rain,1,1407,28,4,Medium
6,Weekday,Clear,0,1679,33,2,High
23,Weekend,Rain,1,1139,22,2,Medium
4,Weekday,Fog,1,1103,22,2,Medium
2,Weekend,Clear,0,1169,23,3,Medium
11,Weekday,Fog,0,321,6,4,Low
6,Weekend,Fog,0,2011,40,4,High
15,Weekend,Rain,1,1473,29,3,Medium
15,Weekend,Fog,1,1297,25,2,Medium
13,Weekday,Clear,1,1044,20,2,Medium
3,Weekend,Fog,1,806,16,3,Medium
13,Weekday,Rain,1,992,19,1,Medium
19,Weekday,Fog,1,1875,37,4,High
10,Weekend,Clear,0,1790,35,2,High
6,Weekend,Clear,1,1900,38,3,High
9,Weekend,Rain,0,1806,36,3,High
19,Weekend,Fog,1,2351,47,1,High
22,Weekend,Rain,0,657,13,1,Low
5,Weekday,Clear,0,559,11,1,Low
19,Weekend,Fog,1,1564,31,1,High
9,Weekend,Clear,1,1951,39,2,High
11,Weekday,Rain,1,1014,20,4,Medium
15,Weekend,Clear,0,1055,21,2,Medium
18,Weekday,Fog,1,1820,36,2,High
21,Weekend,Rain,0,1324,26,1,Medium
15,Weekday,Fog,1,720,14,3,Medium
9,Weekend,Clear,1,2270,45,1,High
14,Weekend,Fog,0,478,9,4,Low
19,Weekend,Fog,1,1899,37,2,High
1,Weekend,Rain,1,1063,21,1,Medium
19,Weekday,Fog,0,917,18,1,Medium
1,Weekend,Fog,1,984,19,2,Medium
18,Weekend,Rain,1,2073,41,2,High
14,Weekend,Clear,1,1389,27,2,Medium
6,Weekend,Rain,1,1845,36,3,High
19,Weekend,Clear,1,2019,40,1,High
22,Weekend,Rain,1,889,17,3,Medium
19,Weekend,Fog,0,1642,32,3,High
2,Weekend,Rain,0,520,10,3,Low
13,Weekend,Fog,0,771,15,1,Medium
16,Weekday,Rain,0,662,13,1,Low
11,Weekend,Fog,0,480,9,4,Low
4,Weekend,Rain,0,1023,20,4,Medium
22,Weekend,Clear,0,711,14,3,Medium
4,Weekday,Rain,0,471,9,4,Low
21,Weekday,Fog,0,1528,30,1,High
19,Weekday,Clear,1,2189,43,2,High
6,Weekend,Rain,0,1654,33,2,High
11,Weekend,Fog,0,595,11,1,Low
5,Weekday,Fog,1,967,19,2,Medium
7,Weekend,Rain,0,2175,43,3,High
0,Weekend,Clear,0,650,13,3,Low
20,Weekend,Fog,0,1334,26,3,Medium
18,Weekday,Rain,1,1982,39,3,High
15,Weekday,Clear,1,969,19,4,Medium
4,Weekday,Clear,1,869,17,2,Medium
4,Weekend,Fog,1,1013,20,2,Medium
10,Weekday,Clear,0,1615,32,3,High
6,Weekday,Fog,0,1167,23,4,Medium
20,Weekday,Clear,0,1947,38,1,High
23,Weekday,Clear,0,1031,20,1,Medium
18,Weekend,Fog,1,1893,37,1,High
1,Weekend,Fog,1,906,18,3,Medium
21,Weekend,Clear,0,1881,37,1,High
18,Weekend,Clear,1,1898,37,3,High
7,Weekday,Clear,0,1791,35,4,High
1,Weekend,Clear,0,751,15,4,Medium
11,Weekday,Fog,0,329,6,3,Low
19,Weekend,Clear,0,1904,38,4,High
17,Weekend,Clear,1,2083,41,1,High
5,Weekend,Clear,0,818,16,4,Medium
21,Weekend,Fog,0,1257,25,2,Medium
11,Weekend,Clear,0,687,13,3,Low
19,Weekend,Rain,1,2516,50,1,High
1,Weekend,Rain,1,1000,20,3,Medium
9,Weekend,Rain,0,1840,36,2,High
0,Weekend,Fog,0,853,17,4,Medium
15,Weekend,Rain,0,672,13,4,Low
1,Weekday,Rain,0,628,12,1,Low
12,Weekday,Fog,0,188,3,1,Low
7,Weekend,Fog,1,1575,31,1,High
9,Weekend,Clear,0,2416,48,3,High
11,Weekday,Fog,1,1004,20,4,Medium
6,Weekday,Fog,1,2102,42,3,High
2,Weekend,Clear,1,1632,32,4,High
20,Weekend,Rain,1,1899,37,1,High
20,Weekend,Fog,1,2330,46,2,High
11,Weekend,Clear,1,1471,29,4,Medium
2,Weekend,Fog,1,1269,25,3,Medium
12,Weekday,Clear,0,496,9,1,Low
5,Weekend,Clear,0,1046,20,1,Medium
6,Weekend,Rain,1,2255,45,4,High
19,Weekend,Clear,1,1898,37,4,High
3,Weekend,Fog,0,603,12,4,Low
15,Weekday,Fog,0,663,13,1,Low
4,Weekday,Clear,0,782,15,3,Medium
22,Weekend,Fog,1,1023,20,1,Medium
18,Weekend,Rain,1,2239,44,2,High
12,Weekend,Clear,1,1263,25,1,Medium
2,Weekend,Clear,0,912,18,4,Medium
16,Weekday,Fog,0,100,2,4,Low
14,Weekday,Fog,0,100,2,4,Low
3,Weekday,Fog,1,1082,21,1,Medium
0,Weekday,Clear,0,700,14,2,Low
7,Weekend,Fog,1,1917,38,2,High
15,Weekend,Rain,0,555,11,2,Low
6,Weekday,Fog,0,1202,24,3,Medium
15,Weekday,Fog,1,924,18,2,Medium
6,Weekend,Clear,1,2258,45,3,High
4,Weekday,Clear,1,1230,24,1,Medium
