time,day_type,weather,event_day,passengers,flight_count,avg_luggage,crowd
5,Weekday,Clear,0,403,8,3,Low
5,Weekday,Rain,0,523,10,1,Low
10,Weekend,Rain,0,2086,41,2,High
21,Weekend,Clear,1,2014,40,4,High
17,Weekday,Fog,1,1351,27,2,Medium
11,Weekend,Clear,0,1030,20,3,Medium
7,Weekend,Clear,0,2277,45,1,High
23,Weekend,Rain,1,854,17,3,Medium
18,Weekend,Rain,1,2202,44,3,High
17,Weekday,Rain,0,1279,25,1,Medium
16,Weekday,Fog,1,321,6,2,Low
8,Weekday,Fog,0,1491,29,4,Medium
9,Weekend,Rain,1,1833,36,2,High
18,Weekday,Clear,1,2120,42,4,High
5,Weekend,Fog,1,808,16,2,Medium
10,Weekend,Rain,0,1939,38,1,High
14,Weekday,Rain,1,1017,20,2,Medium
13,Weekend,Rain,0,797,15,4,Medium
12,Weekday,Rain,0,123,2,1,Low
14,Weekday,Fog,0,100,2,2,Low
6,Weekend,Fog,0,1938,38,3,High
3,Weekend,Fog,1,1003,20,2,Medium
1,Weekday,Fog,0,508,10,2,Low
4,Weekday,Rain,0,280,5,4,Low
22,Weekday,Clear,0,668,13,2,Low
4,Weekday,Rain,1,651,13,1,Low
15,Weekday,Fog,1,909,18,1,Medium
6,Weekend,Fog,0,1619,32,2,High
22,Weekday,Fog,0,100,2,4,Low
23,Weekday,Rain,0,269,5,4,Low
4,Weekend,Fog,1,898,17,2,Medium
7,Weekend,Fog,0,1111,22,2,Medium
1,Weekend,Clear,0,805,16,3,Medium
19,Weekday,Clear,0,1564,31,4,High
13,Weekend,Rain,0,805,16,1,Medium
7,Weekend,Clear,1,2249,44,2,High
5,Weekend,Rain,1,1359,27,2,Medium
0,Weekday,Clear,1,1145,22,3,Medium
23,Weekday,Rain,1,752,15,1,Medium
21,Weekend,Clear,1,1796,35,1,High
9,Weekend,Clear,1,2349,46,1,High
5,Weekday,Fog,0,453,9,1,Low
0,Weekend,Clear,1,1546,30,2,High
16,Weekend,Fog,1,1116,22,3,Medium
3,Weekend,Rain,0,783,15,2,Medium
12,Weekend,Rain,1,1249,24,3,Medium
19,Weekend,Rain,1,1588,31,3,High
2,Weekend,Rain,0,978,19,3,Medium
15,Weekday,Rain,1,598,11,4,Low
3,Weekday,Fog,0,441,8,2,Low
16,Weekend,Rain,0,769,15,2,Medium
20,Weekend,Rain,1,1852,37,1,High
14,Weekend,Rain,0,889,17,4,Medium
4,Weekend,Rain,1,1118,22,3,Medium
19,Weekday,Rain,1,1671,33,4,High
2,Weekend,Fog,0,485,9,3,Low
7,Weekday,Clear,1,2039,40,3,High
12,Weekday,Clear,0,305,6,4,Low
19,Weekend,Clear,1,2351,47,2,High
23,Weekend,Rain,1,1392,27,1,Medium
1,Weekday,Rain,1,1098,21,2,Medium
4,Weekend,Fog,1,735,14,1,Medium
0,Weekend,Rain,1,928,18,1,Medium
2,Weekend,Rain,0,495,9,4,Low
15,Weekday,Fog,0,100,2,1,Low
17,Weekday,Rain,1,2103,42,4,High
14,Weekend,Fog,0,456,9,3,Low
6,Weekend,Rain,1,1708,34,4,High
12,Weekday,Clear,1,1293,25,3,Medium
15,Weekend,Clear,0,729,14,1,Medium
18,Weekend,Rain,1,2143,42,3,High
4,Weekday,Clear,0,472,9,1,Low
7,Weekend,Clear,0,2031,40,1,High
7,Weekend,Fog,1,2297,45,2,High
16,Weekday,Fog,0,100,2,1,Low
20,Weekend,Rain,1,2282,45,1,High
1,Weekend,Clear,0,901,18,4,Medium
11,Weekday,Fog,0,576,11,4,Low
10,Weekday,Fog,1,2113,42,1,High
14,Weekday,Rain,0,682,13,3,Low
1,Weekday,Clear,1,1058,21,3,Medium
8,Weekday,Clear,0,1416,28,2,Medium
10,Weekend,Rain,0,1263,25,2,Medium
9,Weekend,Fog,1,1419,28,3,Medium
2,Weekday,Clear,0,300,6,1,Low
11,Weekday,Rain,0,486,9,3,Low
3,Weekday,Fog,0,544,10,2,Low
22,Weekday,Fog,0,427,8,2,Low
11,Weekend,Rain,1,916,18,4,Medium
15,Weekday,Rain,0,426,8,2,Low
10,Weekend,Rain,0,1793,35,1,High
7,Weekday,Clear,1,1550,31,3,High
11,Weekend,Clear,0,1026,20,1,Medium
18,Weekend,Clear,0,1985,39,4,High
3,Weekend,Fog,0,643,12,1,Low
20,Weekend,Rain,1,2010,40,3,High
17,Weekday,Rain,1,1354,27,2,Medium
19,Weekend,Rain,1,2010,40,2,High
11,Weekend,Fog,0,903,18,3,Medium
12,Weekend,Rain,0,984,19,3,Medium
10,Weekend,Clear,1,2540,50,2,High
21,Weekend,Fog,1,2186,43,3,High
23,Weekday,Fog,1,739,14,2,Medium
0,Weekend,Fog,0,266,5,3,Low
6,Weekend,Clear,0,1523,30,2,High
18,Weekday,Clear,1,2146,42,2,High
14,Weekend,Clear,0,935,18,3,Medium
23,Weekend,Clear,1,1613,32,4,High
20,Weekend,Rain,0,1325,26,4,Medium
4,Weekend,Rain,1,1145,22,4,Medium
1,Weekend,Clear,1,1141,22,1,Medium
9,Weekend,Fog,0,1781,35,2,High
14,Weekend,Rain,1,1234,24,4,Medium
12,Weekday,Rain,1,427,8,3,Low
11,Weekend,Clear,0,618,12,2,Low
9,Weekday,Clear,0,1911,38,2,High
20,Weekday,Clear,0,1374,27,3,Medium
16,Weekday,Fog,0,618,12,3,Low
3,Weekend,Rain,0,1003,20,3,Medium
22,Weekday,Clear,0,441,8,1,Low
18,Weekend,Fog,0,1099,21,4,Medium
16,Weekday,Fog,1,603,12,4,Low
23,Weekday,Rain,1,600,12,1,Low
6,Weekday,Fog,0,744,14,1,Medium
5,Weekend,Fog,0,740,14,4,Medium
6,Weekday,Rain,0,1164,23,3,Medium
13,Weekend,Fog,0,263,5,3,Low
19,Weekday,Clear,1,1842,36,1,High
18,Weekend,Clear,1,2007,40,1,High
7,Weekday,Rain,0,853,17,2,Medium
3,Weekday,Clear,0,486,9,4,Low
19,Weekday,Rain,1,1790,35,1,High
0,Weekday,Fog,0,197,3,2,Low
22,Weekend,Fog,0,626,12,4,Low
4,Weekend,Rain,1,890,17,4,Medium
11,Weekday,Fog,1,410,8,2,Low
19,Weekday,Rain,0,1237,24,4,Medium
1,Weekday,Rain,1,714,14,2,Medium
22,Weekday,Clear,0,469,9,2,Low
1,Weekday,Rain,0,149,2,4,Low
20,Weekend,Rain,1,1527,30,2,High
21,Weekend,Rain,1,2004,40,4,High
18,Weekend,Clear,1,1951,39,2,High
13,Weekday,Fog,1,866,17,1,Medium
8,Weekend,Fog,0,1919,38,1,High
14,Weekday,Fog,1,663,13,1,Low
2,Weekend,Rain,1,764,15,3,Medium
3,Weekday,Fog,0,100,2,3,Low
22,Weekend,Clear,0,842,16,3,Medium
7,Weekday,Rain,1,1466,29,1,Medium
22,Weekday,Rain,0,518,10,3,Low
