time,day_type,weather,event_day,passengers,flight_count,avg_luggage,crowd
20,Weekend,Fog,1,1647,32,2,High
6,Weekend,Rain,0,1526,30,1,High
17,Weekend,Fog,1,2299,45,1,High
16,Weekend,Rain,0,410,8,2,Low
10,Weekend,Rain,1,2316,46,3,High
16,Weekend,Rain,0,1008,20,1,Medium
6,Weekend,Rain,1,1732,34,3,High
22,Weekend,Rain,1,1151,23,2,Medium
20,Weekday,Rain,1,1844,36,3,High
3,Weekend,Fog,1,1056,21,3,Medium
13,Weekday,Fog,0,429,8,4,Low
10,Weekend,Clear,1,2015,40,4,High
13,Weekend,Rain,0,710,14,2,Medium
6,Weekday,Clear,0,1364,27,3,Medium
1,Weekday,Fog,1,638,12,3,Low
10,Weekday,Clear,0,1671,33,2,High
1,Weekday,Rain,1,1143,22,1,Medium
11,Weekday,Clear,1,839,16,2,Medium
17,Weekend,Rain,1,1573,31,1,High
21,Weekday,Fog,1,1714,34,3,High
0,Weekend,Clear,0,673,13,3,Low
1,Weekend,Clear,0,1078,21,3,Medium
20,Weekend,Rain,0,1326,26,2,Medium
19,Weekday,Fog,0,1648,32,1,High
17,Weekday,Fog,0,872,17,3,Medium
16,Weekend,Clear,0,774,15,1,Medium
1,Weekend,Clear,0,965,19,1,Medium
23,Weekday,Clear,1,960,19,4,Medium
16,Weekend,Fog,0,307,6,3,Low
23,Weekday,Clear,0,532,10,1,Low
19,Weekday,Rain,1,1328,26,1,Medium
1,Weekday,Clear,0,448,8,1,Low
16,Weekend,Fog,0,539,10,3,Low
5,Weekday,Fog,1,935,18,1,Medium
22,Weekday,Fog,1,373,7,2,Low
19,Weekend,Fog,0,1338,26,3,Medium
6,Weekend,Rain,0,1648,32,2,High
7,Weekday,Clear,0,1839,36,3,High
12,Weekday,Clear,1,1149,22,2,Medium
1,Weekend,Clear,0,1144,22,3,Medium
23,Weekend,Clear,1,1644,32,1,High
17,Weekday,Rain,0,1246,24,3,Medium
0,Weekend,Fog,1,1085,21,3,Medium
10,Weekday,Rain,1,1735,34,1,High
17,Weekday,Rain,0,1581,31,4,High
6,Weekday,Fog,0,1547,30,4,High
12,Weekday,Rain,0,242,4,2,Low
6,Weekend,Fog,0,1912,38,3,High
14,Weekday,Fog,0,261,5,2,Low
20,Weekday,Fog,1,1223,24,2,Medium
16,Weekday,Fog,1,517,10,1,Low
7,Weekend,Clear,0,2293,45,1,High
17,Weekend,Clear,1,2520,50,4,High
0,Weekend,Fog,0,583,11,1,Low
19,Weekend,Clear,0,1977,39,4,High
22,Weekday,Fog,0,100,2,3,Low
8,Weekend,Clear,1,2596,51,1,High
3,Weekend,Fog,0,600,12,3,Low
17,Weekday,Rain,0,1598,31,1,High
17,Weekday,Clear,0,2016,40,1,High
11,Weekday,Fog,1,1028,20,3,Medium
3,Weekday,Rain,0,253,5,1,Low
10,Weekend,Rain,0,1828,36,4,High
10,Weekday,Rain,0,1793,35,3,High
0,Weekday,Clear,1,933,18,1,Medium
15,Weekday,Fog,1,947,18,4,Medium
3,Weekday,Clear,0,711,14,3,Medium
3,Weekday,Clear,0,498,9,1,Low
0,Weekday,Fog,1,821,16,4,Medium
8,Weekday,Clear,0,1769,35,1,High
21,Weekend,Rain,1,2232,44,4,High
21,Weekend,Rain,0,1487,29,4,Medium
11,Weekend,Rain,0,748,14,1,Medium
5,Weekend,Fog,0,952,19,2,Medium
4,Weekend,Fog,0,823,16,4,Medium
20,Weekday,Fog,0,1438,28,2,Medium
11,Weekend,Clear,1,1052,21,2,Medium
