time,day_type,weather,event_day,passengers,flight_count,avg_luggage,crowd
10,Weekend,Clear,0,1405,28,4,Medium
14,Weekend,Rain,1,1162,23,3,Medium
3,Weekday,Rain,0,226,4,2,Low
2,Weekday,Rain,1,980,19,1,Medium
1,Weekend,Fog,0,312,6,2,Low
18,Weekend,Fog,0,1982,39,3,High
22,Weekday,Fog,0,380,7,4,Low
18,Weekday,Rain,0,1327,26,3,Medium
2,Weekend,Rain,0,934,18,1,Medium
5,Weekday,Rain,1,604,12,4,Low
15,Weekday,Rain,1,837,16,2,Medium
12,Weekend,Rain,1,1177,23,1,Medium
6,Weekend,Clear,0,1398,27,4,Medium
3,Weekend,Clear,1,1155,23,2,Medium
4,Weekday,Fog,0,416,8,2,Low
0,Weekday,Clear,1,1074,21,1,Medium
9,Weekday,Clear,1,2416,48,3,High
3,Weekday,Fog,1,665,13,1,Low
21,Weekday,Clear,1,2301,46,4,High
7,Weekend,Rain,1,2478,49,4,High
4,Weekend,Clear,0,631,12,1,Low
19,Weekday,Fog,0,794,15,1,Medium
15,Weekday,Fog,1,492,9,3,Low
20,Weekend,Clear,1,2718,54,1,High
1,Weekend,Clear,1,1350,27,2,Medium
15,Weekend,Clear,1,1364,27,1,Medium
10,Weekday,Rain,0,1739,34,4,High
14,Weekday,Rain,1,430,8,3,Low
9,Weekday,Fog,0,1144,22,2,Medium
7,Weekend,Fog,1,2150,43,2,High
9,Weekend,Clear,0,1752,35,3,High
5,Weekday,Clear,0,571,11,2,Low
18,Weekday,Clear,0,1528,30,2,High
12,Weekend,Clear,0,984,19,2,Medium
21,Weekday,Clear,0,1910,38,2,High
9,Weekend,Rain,0,1515,30,4,High
22,Weekday,Rain,1,1027,20,4,Medium
11,Weekday,Rain,1,1121,22,1,Medium
10,Weekday,Fog,1,2113,42,2,High
0,Weekday,Fog,0,454,9,2,Low
21,Weekend,Rain,0,1983,39,2,High
16,Weekday,Clear,1,1250,25,3,Medium
9,Weekday,Clear,0,1071,21,2,Medium
7,Weekday,Rain,1,1853,37,1,High
8,Weekend,Rain,1,1662,33,1,High
21,Weekday,Fog,0,860,17,3,Medium
4,Weekend,Fog,0,323,6,1,Low
10,Weekday,Fog,0,1641,32,3,High
12,Weekday,Fog,1,475,9,4,Low
14,Weekend,Clear,1,1262,25,3,Medium
9,Weekend,Rain,0,1853,37,2,High
5,Weekend,Clear,0,729,14,2,Medium
13,Weekday,Rain,0,377,7,1,Low
11,Weekday,Clear,1,1318,26,4,Medium
3,Weekday,Clear,1,887,17,3,Medium
3,Weekday,Fog,1,959,19,3,Medium
7,Weekday,Fog,0,1095,21,2,Medium
1,Weekend,Clear,1,1167,23,4,Medium
21,Weekday,Fog,0,1386,27,3,Medium
0,Weekday,Fog,1,957,19,1,Medium
22,Weekday,Rain,0,393,7,4,Low
21,Weekend,Rain,0,2031,40,1,High
5,Weekday,Clear,1,1185,23,4,Medium
0,Weekend,Fog,0,443,8,4,Low
10,Weekday,Clear,0,1832,36,1,High
20,Weekend,Fog,0,1345,26,1,Medium
14,Weekday,Rain,0,550,11,1,Low
22,Weekday,Clear,0,345,6,1,Low
6,Weekday,Rain,0,1402,28,3,Medium
15,Weekday,Clear,0,502,10,1,Low
8,Weekday,Fog,0,1319,26,3,Medium
15,Weekend,Rain,0,842,16,1,Medium
21,Weekend,Rain,0,1218,24,4,Medium
1,Weekend,Clear,0,1101,22,1,Medium
16,Weekend,Rain,1,847,16,3,Medium
20,Weekday,Fog,1,1385,27,3,Medium
6,Weekend,Fog,0,2006,40,2,High
15,Weekday,Rain,0,431,8,3,Low
2,Weekend,Rain,1,939,18,3,Medium
16,Weekend,Fog,1,1267,25,4,Medium
21,Weekend,Fog,0,1820,36,1,High
1,Weekday,Rain,0,645,12,1,Low
14,Weekday,Clear,0,902,18,2,Medium
2,Weekend,Rain,1,966,19,3,Medium
20,Weekend,Rain,0,1207,24,1,Medium
3,Weekend,Clear,1,1178,23,2,Medium
10,Weekday,Fog,0,1688,33,3,High
5,Weekday,Rain,0,264,5,2,Low
13,Weekend,Clear,0,1142,22,4,Medium
6,Weekend,Clear,1,2207,44,4,High
1,Weekend,Fog,0,753,15,4,Medium
7,Weekend,Clear,0,1805,36,3,High
9,Weekend,Clear,1,1953,39,1,High
0,Weekend,Rain,0,461,9,3,Low
7,Weekend,Fog,1,2427,48,2,High
