time,day_type,weather,event_day,passengers,flight_count,avg_luggage,crowd
17,Weekday,Fog,1,1735,34,1,High
0,Weekday,Rain,0,433,8,4,Low
4,Weekend,Fog,1,1065,21,4,Medium
16,Weekend,Fog,1,1282,25,4,Medium
2,Weekday,Clear,0,782,15,4,Medium
21,Weekend,Rain,0,1948,38,4,High
8,Weekend,Fog,0,1617,32,3,High
6,Weekday,Clear,0,1719,34,1,High
11,Weekend,Fog,1,1316,26,2,Medium
7,Weekend,Fog,0,1647,32,4,High
20,Weekday,Rain,1,1960,39,2,High
22,Weekday,Rain,0,683,13,4,Low
14,Weekend,Fog,0,382,7,3,Low
21,Weekend,Rain,1,2036,40,1,High
23,Weekend,Fog,1,783,15,2,Medium
20,Weekday,Rain,1,1385,27,2,Medium
18,Weekday,Fog,0,809,16,3,Medium
5,Weekend,Clear,1,1039,20,1,Medium
23,Weekday,Fog,1,560,11,2,Low
7,Weekday,Fog,0,1010,20,3,Medium
10,Weekend,Rain,1,2434,48,4,High
13,Weekday,Fog,1,396,7,1,Low
0,Weekend,Clear,1,1598,31,2,High
19,Weekend,Fog,1,2079,41,4,High
9,Weekday,Fog,0,1144,22,3,Medium
19,Weekend,Rain,1,1877,37,3,High
11,Weekend,Fog,1,902,18,4,Medium
23,Weekend,Clear,1,1399,27,1,Medium
9,Weekday,Rain,0,1710,34,3,High
1,Weekday,Rain,0,291,5,1,Low
0,Weekday,Fog,0,204,4,2,Low
19,Weekday,Rain,1,1818,36,4,High
3,Weekday,Fog,0,524,10,2,Low
8,Weekend,Fog,1,1919,38,1,High
10,Weekday,Rain,1,1338,26,2,Medium
19,Weekend,Rain,1,2161,43,3,High
6,Weekend,Rain,1,2478,49,4,High
4,Weekend,Fog,0,610,12,1,Low
22,Weekend,Fog,1,1249,24,1,Medium
8,Weekday,Rain,0,846,16,4,Medium
8,Weekday,Clear,0,1781,35,3,High
0,Weekday,Rain,1,1097,21,2,Medium
21,Weekday,Clear,0,1994,39,3,High
12,Weekend,Rain,1,1232,24,4,Medium
10,Weekday,Clear,1,1786,35,1,High
22,Weekend,Rain,0,854,17,2,Medium
4,Weekday,Clear,0,250,5,3,Low
16,Weekend,Clear,0,1092,21,4,Medium
14,Weekday,Fog,1,358,7,1,Low
8,Weekend,Fog,0,1384,27,4,Medium
6,Weekend,Fog,0,1864,37,1,High
4,Weekday,Fog,1,541,10,2,Low
3,Weekday,Clear,1,872,17,3,Medium
21,Weekend,Fog,0,1427,28,2,Medium
8,Weekday,Fog,1,2071,41,1,High
11,Weekday,Fog,0,100,2,4,Low
1,Weekend,Clear,0,802,16,4,Medium
23,Weekend,Rain,0,618,12,3,Low
2,Weekend,Clear,1,1164,23,4,Medium
11,Weekday,Fog,0,361,7,4,Low
17,Weekday,Clear,1,1905,38,2,High
18,Weekend,Clear,1,2328,46,1,High
9,Weekend,Fog,1,1823,36,4,High
23,Weekday,Clear,0,414,8,1,Low
16,Weekend,Clear,0,1141,22,4,Medium
2,Weekday,Fog,0,362,7,3,Low
14,Weekend,Rain,1,1335,26,4,Medium
4,Weekend,Rain,0,506,10,1,Low
17,Weekday,Clear,0,1568,31,2,High
9,Weekday,Clear,1,1924,38,1,High
17,Weekday,Fog,0,1528,30,2,High
11,Weekend,Fog,0,554,11,2,Low
14,Weekday,Fog,0,527,10,2,Low
5,Weekend,Fog,1,821,16,4,Medium
13,Weekend,Rain,0,420,8,4,Low
19,Weekend,Rain,1,2187,43,2,High
21,Weekday,Rain,1,1823,36,2,High
21,Weekday,Rain,0,1543,30,3,High
4,Weekend,Fog,1,869,17,1,Medium
15,Weekend,Rain,1,882,17,1,Medium
4,Weekend,Rain,0,421,8,4,Low
11,Weekday,Fog,0,100,2,1,Low
5,Weekday,Rain,1,1091,21,3,Medium
2,Weekday,Rain,0,224,4,3,Low
9,Weekday,Rain,1,1485,29,2,Medium
1,Weekday,Rain,1,798,15,1,Medium
11,Weekday,Rain,0,245,4,4,Low
10,Weekend,Rain,1,1813,36,2,High
19,Weekend,Fog,1,2412,48,1,High
11,Weekend,Fog,1,838,16,1,Medium
13,Weekday,Fog,0,303,6,4,Low
21,Weekday,Rain,0,1775,35,4,High
20,Weekday,Fog,1,1315,26,1,Medium
22,Weekend,Fog,1,953,19,4,Medium
3,Weekend,Clear,0,615,12,4,Low
8,Weekend,Fog,1,1988,39,1,High
18,Weekday,Clear,0,1433,28,4,Medium
5,Weekend,Rain,0,365,7,3,Low
8,Weekday,Clear,1,2279,45,4,High
10,Weekday,Clear,0,1605,32,1,High
17,Weekend,Clear,1,2405,48,2,High
13,Weekday,Fog,1,928,18,4,Medium
15,Weekday,Fog,1,637,12,2,Low
11,Weekend,Fog,1,1024,20,4,Medium
3,Weekend,Rain,0,494,9,4,Low
15,Weekend,Fog,1,660,13,2,Low
12,Weekend,Fog,0,759,15,1,Medium
4,Weekend,Rain,1,953,19,2,Medium
23,Weekend,Clear,0,660,13,3,Low
14,Weekend,Fog,0,623,12,1,Low
3,Weekday,Fog,1,677,13,2,Low
10,Weekend,Rain,0,2068,41,4,High
8,Weekday,Clear,0,1331,26,3,Medium
20,Weekday,Fog,1,1197,23,1,Medium
20,Weekend,Clear,1,2517,50,2,High
6,Weekday,Rain,1,2066,41,2,High
1,Weekend,Rain,1,900,18,4,Medium
5,Weekend,Fog,0,476,9,2,Low
17,Weekend,Clear,1,2389,47,2,High
20,Weekend,Fog,1,1536,30,2,High
1,Weekday,Rain,1,1002,20,4,Medium
4,Weekday,Fog,0,285,5,1,Low
2,Weekday,Rain,1,701,14,3,Medium
18,Weekday,Rain,0,951,19,1,Medium
18,Weekday,Fog,0,900,18,4,Medium
16,Weekday,Clear,0,821,16,2,Medium
2,Weekend,Rain,1,767,15,1,Medium
14,Weekday,Rain,1,633,12,2,Low
12,Weekday,Clear,0,611,12,3,Low
21,Weekend,Fog,1,2008,40,2,High
18,Weekday,Fog,1,1854,37,1,High
16,Weekend,Fog,1,1313,26,3,Medium
8,Weekday,Fog,1,1855,37,4,High
8,Weekday,Fog,1,1129,22,4,Medium
23,Weekday,Clear,1,947,18,2,Medium
11,Weekday,Fog,0,368,7,2,Low
20,Weekend,Clear,0,1696,33,2,High
1,Weekend,Clear,1,1257,25,1,Medium
6,Weekend,Fog,1,1948,38,1,High
4,Weekday,Rain,0,103,2,3,Low
17,Weekend,Clear,0,2013,40,4,High
9,Weekday,Rain,1,2203,44,4,High
23,Weekend,Clear,1,1418,28,2,Medium
9,Weekend,Fog,0,1398,27,1,Medium
13,Weekday,Rain,0,658,13,3,Low
17,Weekend,Rain,1,1714,34,4,High
2,Weekend,Fog,0,842,16,1,Medium
21,Weekend,Clear,0,1860,37,4,High
11,Weekend,Clear,1,1403,28,2,Medium
14,Weekend,Fog,1,1237,24,3,Medium
10,Weekend,Clear,0,2136,42,3,High
12,Weekend,Rain,1,803,16,2,Medium
1,Weekday,Rain,0,668,13,2,Low
15,Weekday,Clear,0,852,17,1,Medium
20,Weekend,Rain,0,1262,25,3,Medium
13,Weekend,Clear,1,1439,28,1,Medium
5,Weekday,Rain,0,471,9,3,Low
8,Weekday,Rain,1,1512,30,4,High
23,Weekday,Fog,1,366,7,3,Low
16,Weekday,Rain,0,100,2,3,Low
16,Weekday,Rain,0,252,5,4,Low
9,Weekend,Rain,0,1419,28,3,Medium
1,Weekday,Fog,0,356,7,3,Low
18,Weekday,Rain,0,901,18,3,Medium
10,Weekday,Clear,0,1599,31,1,High
3,Weekday,Rain,0,173,3,2,Low
12,Weekend,Rain,0,726,14,3,Medium
2,Weekday,Rain,0,649,12,4,Low
23,Weekday,Fog,1,737,14,2,Medium
18,Weekend,Fog,0,1657,33,2,High
8,Weekday,Fog,1,1446,28,4,Medium
16,Weekend,Rain,1,1165,23,2,Medium
6,Weekend,Clear,0,1577,31,3,High
20,Weekday,Clear,1,2282,45,1,High
18,Weekday,Rain,0,1126,22,2,Medium
11,Weekday,Fog,0,474,9,3,Low
11,Weekday,Fog,1,741,14,3,Medium
21,Weekday,Clear,0,1880,37,1,High
6,Weekday,Rain,0,826,16,3,Medium
14,Weekday,Fog,0,428,8,3,Low
13,Weekend,Clear,1,1450,29,3,Medium
3,Weekend,Rain,0,891,17,3,Medium
8,Weekend,Clear,0,1448,28,1,Medium
19,Weekday,Fog,0,1615,32,2,High
19,Weekday,Rain,0,1228,24,4,Medium
21,Weekend,Rain,1,1900,38,1,High
9,Weekday,Clear,0,1263,25,2,Medium
20,Weekend,Fog,1,1553,31,1,High
11,Weekday,Rain,0,404,8,1,Low
10,Weekend,Fog,1,1926,38,3,High
11,Weekend,Clear,0,811,16,1,Medium
19,Weekend,Clear,1,2516,50,3,High
3,Weekday,Fog,0,100,2,4,Low
20,Weekday,Clear,1,2266,45,1,High
1,Weekday,Clear,0,268,5,3,Low
22,Weekend,Rain,0,419,8,3,Low
22,Weekday,Fog,1,845,16,3,Medium
5,Weekend,Clear,0,807,16,1,Medium
16,Weekend,Clear,1,1407,28,3,Medium
21,Weekday,Rain,1,2167,43,4,High
4,Weekend,Fog,0,867,17,1,Medium
10,Weekend,Fog,0,1510,30,1,High
18,Weekday,Fog,0,1238,24,1,Medium
0,Weekday,Rain,0,372,7,3,Low
17,Weekend,Clear,1,2246,44,2,High
9,Weekday,Fog,0,1055,21,1,Medium
3,Weekend,Rain,0,741,14,3,Medium
20,Weekday,Clear,0,2006,40,4,High
12,Weekday,Rain,1,536,10,3,Low
18,Weekend,Clear,0,1556,31,2,High
14,Weekday,Clear,0,865,17,3,Medium
2,Weekend,Rain,0,860,17,2,Medium
15,Weekday,Fog,0,611,12,3,Low
12,Weekend,Clear,1,1223,24,1,Medium
6,Weekend,Rain,1,2328,46,3,High
6,Weekday,Rain,1,1683,33,4,High
11,Weekday,Rain,0,577,11,1,Low
2,Weekend,Fog,1,1293,25,3,Medium
10,Weekday,Clear,1,1998,39,3,High
17,Weekday,Clear,0,1441,28,2,Medium
6,Weekend,Rain,0,1284,25,3,Medium
1,Weekday,Clear,1,1067,21,2,Medium
13,Weekday,Clear,0,589,11,2,Low
20,Weekend,Fog,0,1979,39,1,High
22,Weekday,Rain,1,1115,22,1,Medium
1,Weekend,Fog,0,363,7,3,Low
16,Weekend,Rain,1,952,19,3,Medium
9,Weekday,Clear,1,1645,32,1,High
5,Weekend,Clear,0,718,14,2,Medium
1,Weekend,Clear,0,589,11,2,Low
9,Weekend,Fog,1,1750,35,2,High
20,Weekday,Clear,1,1675,33,2,High
1,Weekday,Fog,1,770,15,4,Medium
20,Weekend,Fog,0,1706,34,1,High
6,Weekend,Clear,1,2609,52,3,High
19,Weekday,Clear,0,1950,39,4,High
11,Weekend,Fog,0,372,7,4,Low
14,Weekend,Rain,1,1341,26,2,Medium
9,Weekday,Clear,1,1932,38,1,High
7,Weekday,Fog,0,789,15,1,Medium
0,Weekday,Clear,1,1286,25,1,Medium
13,Weekend,Fog,1,1041,20,2,Medium
3,Weekday,Clear,0,901,18,4,Medium
15,Weekend,Fog,0,261,5,3,Low
6,Weekend,Fog,1,2155,43,2,High
22,Weekday,Fog,1,660,13,4,Low
14,Weekend,Fog,0,687,13,1,Low
9,Weekday,Clear,0,1951,39,4,High
22,Weekday,Clear,0,226,4,4,Low
0,Weekend,Fog,0,653,13,2,Low
8,Weekend,Fog,1,1842,36,3,High
2,Weekday,Rain,0,706,14,2,Medium
14,Weekend,Clear,0,1022,20,3,Medium
14,Weekday,Rain,1,845,16,4,Medium
19,Weekend,Rain,1,1875,37,2,High
22,Weekend,Clear,1,1084,21,1,Medium
6,Weekend,Clear,0,1752,35,2,High
8,Weekend,Rain,0,1839,36,4,High
3,Weekday,Rain,1,610,12,3,Low
17,Weekday,Clear,1,2061,41,1,High
12,Weekend,Rain,1,1397,27,4,Medium
17,Weekday,Clear,1,2025,40,4,High
9,Weekend,Clear,1,2592,51,1,High
16,Weekday,Rain,0,617,12,2,Low
18,Weekend,Clear,0,1785,35,3,High
17,Weekday,Rain,0,1730,34,4,High
6,Weekday,Clear,0,1467,29,2,Medium
15,Weekday,Clear,1,1023,20,2,Medium
9,Weekday,Clear,1,1823,36,1,High
23,Weekend,Rain,0,418,8,1,Low
8,Weekday,Rain,0,1253,25,4,Medium
11,Weekday,Clear,1,954,19,2,Medium
4,Weekday,Clear,0,704,14,1,Medium
7,Weekday,Clear,0,1152,23,4,Medium
3,Weekday,Clear,1,749,14,3,Medium
15,Weekday,Fog,0,100,2,4,Low
20,Weekday,Fog,1,1322,26,3,Medium
10,Weekday,Fog,1,1621,32,3,High
13,Weekday,Fog,1,531,10,1,Low
23,Weekend,Rain,0,766,15,3,Medium
19,Weekend,Fog,1,1664,33,4,High
21,Weekend,Clear,1,2114,42,4,High
22,Weekend,Fog,0,235,4,4,Low
9,Weekday,Fog,1,1258,25,1,Medium
4,Weekday,Fog,1,334,6,1,Low
1,Weekend,Clear,1,1461,29,2,Medium
22,Weekend,Fog,0,734,14,4,Medium
19,Weekday,Clear,0,1532,30,2,High
0,Weekday,Clear,0,475,9,1,Low
20,Weekday,Rain,0,986,19,1,Medium
5,Weekend,Clear,1,1551,31,4,High
5,Weekend,Rain,1,1029,20,2,Medium
2,Weekend,Clear,0,1151,23,1,Medium
10,Weekday,Clear,1,1677,33,2,High
13,Weekday,Rain,1,590,11,4,Low
9,Weekend,Rain,1,2231,44,3,High
17,Weekend,Clear,0,2155,43,1,High
18,Weekend,Fog,0,1135,22,2,Medium
1,Weekday,Clear,0,760,15,3,Medium
4,Weekend,Fog,0,574,11,1,Low
16,Weekday,Rain,1,493,9,1,Low
17,Weekend,Clear,0,2137,42,4,High
12,Weekday,Fog,0,374,7,2,Low
7,Weekend,Rain,1,1909,38,4,High
7,Weekday,Clear,1,1959,39,3,High
20,Weekday,Fog,0,992,19,2,Medium
1,Weekday,Fog,0,607,12,4,Low
7,Weekend,Rain,0,2099,41,2,High
8,Weekend,Rain,0,1813,36,1,High
19,Weekend,Clear,1,1969,39,3,High
13,Weekday,Clear,1,892,17,4,Medium
5,Weekday,Clear,0,475,9,4,Low
1,Weekend,Fog,0,637,12,3,Low
12,Weekday,Rain,0,273,5,1,Low
0,Weekday,Clear,1,843,16,2,Medium
4,Weekend,Fog,1,666,13,3,Low
6,Weekend,Rain,1,2223,44,4,High
1,Weekend,Fog,0,324,6,3,Low
11,Weekend,Clear,1,1187,23,3,Medium
9,Weekend,Fog,0,1874,37,1,High
10,Weekend,Rain,0,1140,22,4,Medium
5,Weekday,Rain,1,909,18,3,Medium
1,Weekend,Fog,1,1260,25,2,Medium
19,Weekend,Rain,0,1363,27,1,Medium
2,Weekend,Fog,1,956,19,1,Medium
22,Weekday,Rain,0,699,13,2,Low
9,Weekday,Fog,1,1204,24,1,Medium
0,Weekday,Clear,0,709,14,4,Medium
17,Weekend,Clear,1,2626,52,2,High
6,Weekend,Rain,0,1543,30,2,High
20,Weekend,Fog,0,1584,31,3,High
20,Weekday,Clear,1,2103,42,4,High
21,Weekday,Fog,0,821,16,1,Medium
1,Weekday,Rain,0,491,9,3,Low
6,Weekend,Rain,1,1793,35,1,High
11,Weekday,Rain,1,806,16,2,Medium
13,Weekend,Clear,0,740,14,2,Medium
9,Weekday,Fog,0,1696,33,2,High
22,Weekend,Fog,1,700,14,1,Low
7,Weekday,Rain,0,867,17,2,Medium
3,Weekday,Rain,0,634,12,4,Low
13,Weekend,Fog,1,1169,23,2,Medium
15,Weekday,Clear,1,839,16,1,Medium
17,Weekend,Rain,1,1863,37,1,High
0,Weekend,Clear,1,1582,31,2,High
8,Weekday,Fog,1,1279,25,1,Medium
23,Weekday,Clear,1,978,19,2,Medium
6,Weekday,Rain,0,1560,31,3,High
6,Weekend,Clear,0,2257,45,2,High
11,Weekday,Fog,0,249,4,1,Low
13,Weekend,Rain,0,951,19,3,Medium
22,Weekday,Clear,0,506,10,3,Low
2,Weekend,Fog,1,904,18,4,Medium
19,Weekend,Clear,1,2492,49,3,High
18,Weekend,Fog,0,1700,34,1,High
6,Weekend,Rain,0,1850,37,2,High
19,Weekday,Clear,0,1280,25,2,Medium
7,Weekday,Clear,0,1819,36,4,High
21,Weekend,Clear,1,2408,48,3,High
14,Weekend,Rain,1,939,18,2,Medium
9,Weekend,Clear,0,1425,28,4,Medium
12,Weekday,Fog,1,674,13,1,Low
12,Weekday,Clear,1,1286,25,3,Medium
1,Weekday,Clear,1,701,14,4,Medium
13,Weekday,Fog,1,604,12,3,Low
11,Weekday,Rain,0,683,13,3,Low
13,Weekend,Clear,0,556,11,4,Low
3,Weekday,Clear,1,1270,25,3,Medium
13,Weekday,Clear,0,816,16,4,Medium
22,Weekday,Fog,1,717,14,3,Medium
15,Weekend,Fog,0,736,14,1,Medium
8,Weekday,Fog,0,1061,21,1,Medium
0,Weekday,Clear,0,912,18,1,Medium
8,Weekend,Clear,1,2175,43,1,High
12,Weekend,Clear,1,946,18,3,Medium
10,Weekday,Fog,1,1810,36,4,High
8,Weekday,Rain,1,1282,25,2,Medium
12,Weekend,Clear,1,1330,26,2,Medium
2,Weekday,Fog,0,100,2,2,Low
7,Weekend,Fog,0,1262,25,3,Medium
6,Weekend,Fog,0,1235,24,4,Medium
2,Weekday,Clear,1,762,15,4,Medium
11,Weekday,Rain,0,305,6,4,Low
21,Weekend,Fog,0,1312,26,1,Medium
20,Weekday,Clear,0,1166,23,4,Medium
1,Weekday,Clear,0,617,12,3,Low
16,Weekend,Rain,1,1299,25,4,Medium
5,Weekend,Fog,1,641,12,4,Low
3,Weekend,Clear,1,991,19,2,Medium
8,Weekday,Clear,0,1056,21,4,Medium
0,Weekday,Clear,0,315,6,1,Low
16,Weekend,Fog,0,450,9,4,Low
20,Weekend,Rain,1,2248,44,4,High
