time,day_type,weather,event_day,passengers,flight_count,avg_luggage,crowd
2,Weekday,Clear,1,1003,20,4,Medium
14,Weekday,Fog,0,100,2,2,Low
3,Weekday,Clear,1,953,19,4,Medium
10,Weekday,Fog,0,992,19,4,Medium
14,Weekday,Fog,0,333,6,1,Low
21,Weekend,Clear,1,1898,37,4,High
22,Weekend,Rain,1,1327,26,1,Medium
9,Weekday,Clear,0,1049,20,3,Medium
20,Weekend,Rain,0,1366,27,4,Medium
21,Weekend,Fog,1,1998,39,4,High
11,Weekend,Rain,1,1069,21,3,Medium
20,Weekday,Clear,0,1831,36,2,High
6,Weekday,Rain,1,1854,37,3,High
17,Weekend,Fog,0,1310,26,1,Medium
6,Weekday,Clear,1,1433,28,1,Medium
23,Weekday,Rain,0,100,2,2,Low
21,Weekend,Rain,0,1576,31,4,High
11,Weekday,Rain,0,211,4,4,Low
22,Weekend,Rain,1,1206,24,3,Medium
13,Weekday,Clear,1,1044,20,1,Medium
11,Weekend,Fog,1,813,16,4,Medium
5,Weekend,Clear,0,766,15,3,Medium
19,Weekday,Rain,0,959,19,1,Medium
5,Weekday,Clear,1,680,13,4,Low
20,Weekend,Fog,0,1203,24,1,Medium
4,Weekend,Rain,1,1381,27,1,Medium
13,Weekend,Rain,0,524,10,1,Low
22,Weekday,Rain,1,850,17,1,Medium
19,Weekday,Rain,1,1220,24,1,Medium
5,Weekday,Rain,1,857,17,2,Medium
20,Weekend,Clear,1,2145,42,3,High
11,Weekday,Rain,0,650,13,1,Low
12,Weekday,Clear,0,317,6,1,Low
9,Weekday,Fog,1,1853,37,4,High
17,Weekday,Fog,1,1627,32,3,High
17,Weekend,Rain,1,1646,32,1,High
20,Weekend,Clear,0,1781,35,4,High
4,Weekend,Rain,0,378,7,3,Low
13,Weekend,Clear,1,942,18,2,Medium
0,Weekend,Fog,1,1002,20,3,Medium
7,Weekday,Clear,1,1910,38,2,High
9,Weekday,Clear,0,1874,37,4,High
5,Weekend,Fog,0,515,10,4,Low
13,Weekend,Clear,1,1000,20,3,Medium
5,Weekday,Clear,0,277,5,1,Low
21,Weekend,Rain,0,1437,28,1,Medium
20,Weekday,Rain,1,1472,29,2,Medium
2,Weekend,Fog,0,215,4,4,Low
20,Weekend,Fog,1,1431,28,3,Medium
15,Weekend,Fog,1,938,18,4,Medium
8,Weekend,Clear,0,1557,31,4,High
1,Weekend,Rain,0,643,12,4,Low
4,Weekday,Rain,1,723,14,4,Medium
2,Weekend,Rain,1,1280,25,4,Medium
23,Weekday,Rain,1,600,12,2,Low
14,Weekend,Clear,0,1124,22,2,Medium
5,Weekend,Clear,0,1000,20,2,Medium
22,Weekend,Clear,0,929,18,2,Medium
3,Weekend,Fog,0,816,16,1,Medium
9,Weekend,Clear,1,2558,51,3,High
22,Weekend,Fog,1,724,14,2,Medium
8,Weekend,Clear,1,2579,51,1,High
3,Weekday,Fog,0,169,3,2,Low
22,Weekday,Fog,0,401,8,2,Low
15,Weekday,Clear,1,1294,25,1,Medium
4,Weekend,Clear,1,1011,20,4,Medium
13,Weekday,Clear,1,967,19,4,Medium
3,Weekday,Rain,1,511,10,2,Low
15,Weekday,Clear,1,1206,24,1,Medium
15,Weekday,Clear,1,1227,24,3,Medium
15,Weekend,Fog,1,941,18,2,Medium
5,Weekend,Clear,1,1198,23,2,Medium
9,Weekday,Clear,1,2295,45,1,High
22,Weekday,Fog,0,100,2,2,Low
14,Weekend,Clear,1,954,19,4,Medium
15,Weekday,Fog,1,720,14,4,Medium
19,Weekend,Rain,1,1632,32,3,High
10,Weekday,Rain,1,1318,26,4,Medium
21,Weekend,Rain,0,1212,24,4,Medium
23,Weekday,Rain,0,127,2,4,Low
17,Weekend,Rain,1,1957,39,4,High
0,Weekend,Clear,0,1025,20,2,Medium
14,Weekday,Rain,0,100,2,2,Low
1,Weekend,Rain,1,1170,23,2,Medium
6,Weekend,Fog,1,1889,37,1,High
11,Weekday,Rain,1,515,10,2,Low
16,Weekday,Clear,1,1126,22,4,Medium
12,Weekday,Rain,1,714,14,2,Medium
13,Weekday,Clear,0,290,5,1,Low
8,Weekend,Rain,1,1729,34,3,High
9,Weekend,Fog,0,1015,20,2,Medium
4,Weekday,Fog,1,484,9,3,Low
18,Weekend,Clear,0,1547,30,2,High
18,Weekend,Clear,0,2272,45,2,High
8,Weekend,Rain,1,2043,40,3,High
6,Weekend,Clear,0,1656,33,2,High
4,Weekend,Fog,1,1144,22,3,Medium
16,Weekday,Fog,1,704,14,2,Medium
