time,day_type,weather,event_day,passengers,flight_count,avg_luggage,crowd
12,Weekday,Clear,0,1012,20,3,Medium
18,Weekday,Rain,0,1486,29,4,Medium
11,Weekday,Clear,1,1019,20,2,Medium
14,Weekend,Fog,0,675,13,2,Low
8,Weekday,Fog,1,1535,30,1,High
17,Weekday,Fog,1,1452,29,2,Medium
9,Weekend,Fog,0,1924,38,3,High
22,Weekend,Clear,0,942,18,4,Medium
3,Weekday,Rain,0,470,9,3,Low
18,Weekend,Clear,1,2316,46,4,High
19,Weekday,Clear,1,2009,40,4,High
15,Weekend,Rain,1,1022,20,4,Medium
8,Weekday,Rain,0,1810,36,4,High
4,Weekend,Clear,1,1613,32,4,High
23,Weekend,Clear,1,1165,23,3,Medium
12,Weekend,Fog,0,905,18,2,Medium
23,Weekday,Fog,0,518,10,2,Low
5,Weekday,Clear,0,614,12,3,Low
0,Weekday,Clear,1,932,18,4,Medium
4,Weekend,Fog,1,912,18,2,Medium
8,Weekend,Rain,0,2030,40,2,High
13,Weekend,Clear,0,1276,25,4,Medium
6,Weekday,Rain,1,1701,34,2,High
17,Weekend,Fog,0,1913,38,1,High
9,Weekend,Rain,1,2598,51,2,High
7,Weekday,Clear,0,1494,29,2,Medium
1,Weekday,Fog,0,701,14,3,Medium
17,Weekend,Rain,1,2137,42,2,High
18,Weekday,Clear,1,2317,46,4,High
9,Weekday,Rain,1,1907,38,3,High
23,Weekend,Rain,1,1150,23,1,Medium
9,Weekday,Fog,1,1569,31,1,High
16,Weekday,Clear,0,418,8,3,Low
4,Weekday,Rain,0,790,15,4,Medium
17,Weekday,Fog,0,955,19,3,Medium
4,Weekend,Rain,0,1119,22,2,Medium
12,Weekend,Fog,0,1026,20,3,Medium
16,Weekday,Clear,0,829,16,3,Medium
3,Weekday,Fog,1,758,15,3,Medium
20,Weekend,Clear,1,2162,43,2,High
16,Weekend,Fog,1,846,16,4,Medium
7,Weekday,Clear,1,1701,34,1,High
0,Weekend,Clear,0,1033,20,3,Medium
5,Weekend,Fog,0,904,18,4,Medium
8,Weekend,Clear,1,1913,38,1,High
21,Weekend,Clear,0,2337,46,1,High
14,Weekend,Fog,0,961,19,1,Medium
19,Weekday,Rain,0,1848,36,2,High
2,Weekend,Rain,1,1179,23,3,Medium
19,Weekday,Rain,1,1481,29,4,Medium
5,Weekend,Clear,1,1372,27,3,Medium
19,Weekend,Rain,0,2204,44,2,High
11,Weekend,Clear,1,1265,25,3,Medium
17,Weekday,Rain,0,1754,35,1,High
4,Weekday,Clear,1,917,18,1,Medium
10,Weekday,Clear,1,1541,30,4,High
3,Weekday,Fog,0,121,2,4,Low
8,Weekday,Clear,1,2083,41,2,High
1,Weekend,Fog,1,795,15,1,Medium
5,Weekend,Rain,0,1007,20,3,Medium
19,Weekday,Rain,0,1487,29,1,Medium
17,Weekend,Rain,1,2596,51,2,High
9,Weekday,Clear,1,1583,31,1,High
1,Weekend,Clear,0,829,16,4,Medium
4,Weekday,Fog,0,299,5,2,Low
10,Weekday,Clear,1,2041,40,1,High
22,Weekend,Clear,0,708,14,3,Medium
3,Weekday,Clear,0,876,17,4,Medium
7,Weekday,Rain,0,1423,28,4,Medium
10,Weekend,Fog,1,2320,46,3,High
4,Weekend,Rain,1,891,17,3,Medium
9,Weekday,Fog,1,1371,27,2,Medium
6,Weekend,Clear,1,2272,45,1,High
3,Weekend,Fog,0,526,10,3,Low
2,Weekday,Fog,1,1088,21,3,Medium
5,Weekend,Rain,0,640,12,1,Low
0,Weekday,Rain,0,791,15,4,Medium
1,Weekday,Clear,1,982,19,1,Medium
18,Weekend,Rain,1,2546,50,2,High
22,Weekday,Fog,1,530,10,2,Low
4,Weekend,Clear,1,1039,20,2,Medium
7,Weekday,Rain,1,1798,35,1,High
6,Weekday,Fog,1,1439,28,4,Medium
10,Weekday,Clear,0,1757,35,1,High
11,Weekday,Rain,0,217,4,4,Low
21,Weekday,Fog,1,2104,42,4,High
8,Weekend,Clear,1,2198,43,3,High
8,Weekday,Fog,0,1094,21,3,Medium
15,Weekday,Rain,0,774,15,1,Medium
5,Weekend,Fog,1,797,15,2,Medium
5,Weekday,Rain,0,685,13,2,Low
15,Weekend,Fog,1,923,18,1,Medium
2,Weekend,Fog,0,403,8,2,Low
23,Weekend,Rain,0,875,17,2,Medium
23,Weekend,Rain,1,1411,28,4,Medium
19,Weekend,Clear,1,2347,46,1,High
3,Weekday,Fog,0,527,10,2,Low
3,Weekday,Rain,1,551,11,3,Low
11,Weekend,Clear,1,1492,29,2,Medium
21,Weekday,Clear,1,2313,46,1,High
1,Weekend,Fog,1,1362,27,3,Medium
3,Weekend,Clear,0,1188,23,3,Medium
22,Weekday,Clear,1,1291,25,1,Medium
4,Weekday,Rain,0,695,13,2,Low
6,Weekday,Rain,1,1568,31,1,High
4,Weekday,Rain,1,645,12,3,Low
21,Weekend,Fog,1,1771,35,3,High
0,Weekday,Fog,0,390,7,2,Low
16,Weekend,Clear,1,1216,24,4,Medium
17,Weekend,Clear,0,1936,38,2,High
10,Weekday,Clear,1,2146,42,1,High
13,Weekday,Fog,1,608,12,4,Low
2,Weekend,Clear,1,1316,26,2,Medium
1,Weekend,Rain,1,1062,21,2,Medium
4,Weekday,Rain,0,691,13,4,Low
9,Weekday,Fog,0,1155,23,4,Medium
19,Weekend,Clear,1,2594,51,3,High
1,Weekend,Fog,0,476,9,1,Low
7,Weekend,Fog,0,1187,23,1,Medium
9,Weekday,Clear,0,1830,36,3,High
4,Weekend,Rain,1,1080,21,1,Medium
16,Weekday,Rain,0,212,4,3,Low
7,Weekday,Rain,0,1303,26,1,Medium
17,Weekend,Clear,1,2301,46,2,High
23,Weekend,Rain,0,1061,21,2,Medium
9,Weekday,Fog,0,1427,28,2,Medium
14,Weekend,Clear,1,1100,22,4,Medium
16,Weekday,Fog,1,542,10,3,Low
3,Weekend,Clear,0,741,14,3,Medium
23,Weekday,Clear,1,773,15,4,Medium
12,Weekday,Fog,1,1047,20,1,Medium
7,Weekend,Fog,0,1889,37,3,High
22,Weekend,Rain,1,968,19,1,Medium
4,Weekday,Rain,1,1109,22,2,Medium
19,Weekday,Clear,0,2115,42,1,High
17,Weekday,Fog,0,871,17,4,Medium
8,Weekend,Clear,0,1633,32,1,High
17,Weekday,Fog,1,1938,38,2,High
3,Weekday,Fog,1,757,15,1,Medium
5,Weekday,Clear,0,529,10,4,Low
17,Weekend,Clear,0,1507,30,3,High
13,Weekday,Rain,1,652,13,4,Low
18,Weekend,Rain,1,2096,41,2,High
7,Weekend,Fog,1,1626,32,3,High
11,Weekday,Clear,1,1312,26,1,Medium
10,Weekday,Rain,0,1446,28,1,Medium
18,Weekend,Rain,0,1529,30,4,High
11,Weekday,Clear,1,1075,21,2,Medium
8,Weekday,Clear,0,1254,25,3,Medium
5,Weekend,Fog,0,604,12,1,Low
11,Weekday,Fog,1,973,19,1,Medium
13,Weekday,Clear,0,807,16,4,Medium
9,Weekend,Clear,1,2110,42,1,High
10,Weekend,Clear,1,1980,39,2,High
12,Weekday,Rain,0,733,14,3,Medium
16,Weekend,Rain,0,1068,21,4,Medium
6,Weekend,Rain,0,1416,28,2,Medium
22,Weekend,Clear,0,1314,26,3,Medium
12,Weekend,Fog,1,926,18,2,Medium
9,Weekday,Fog,1,1758,35,4,High
7,Weekday,Fog,1,1707,34,4,High
7,Weekend,Rain,0,2127,42,4,High
14,Weekend,Rain,0,474,9,1,Low
2,Weekday,Rain,1,814,16,4,Medium
2,Weekend,Clear,0,1335,26,4,Medium
19,Weekend,Rain,0,1733,34,1,High
20,Weekend,Clear,1,2038,40,2,High
13,Weekend,Rain,0,553,11,3,Low
22,Weekday,Rain,0,784,15,3,Medium
13,Weekday,Clear,0,1018,20,2,Medium
0,Weekday,Rain,0,457,9,3,Low
2,Weekday,Fog,1,577,11,2,Low
12,Weekend,Clear,1,1298,25,2,Medium
8,Weekday,Fog,0,1072,21,1,Medium
12,Weekday,Fog,0,718,14,1,Medium
3,Weekday,Fog,0,249,4,1,Low
16,Weekend,Clear,0,1055,21,4,Medium
3,Weekend,Clear,1,1557,31,3,High
19,Weekend,Rain,1,2026,40,1,High
3,Weekday,Clear,1,1167,23,4,Medium
5,Weekday,Clear,1,1409,28,3,Medium
12,Weekend,Fog,0,413,8,3,Low
15,Weekend,Clear,0,1057,21,2,Medium
9,Weekend,Rain,1,1854,37,1,High
12,Weekend,Fog,1,763,15,4,Medium
4,Weekend,Fog,0,592,11,4,Low
12,Weekend,Clear,0,992,19,2,Medium
4,Weekday,Clear,1,1270,25,4,Medium
23,Weekday,Clear,0,820,16,4,Medium
6,Weekend,Clear,0,1803,36,2,High
18,Weekend,Clear,0,1740,34,2,High
12,Weekend,Fog,0,708,14,1,Medium
22,Weekday,Rain,1,964,19,1,Medium
7,Weekday,Clear,1,1904,38,3,High
19,Weekday,Rain,1,1406,28,4,Medium
3,Weekday,Fog,0,234,4,1,Low
18,Weekday,Fog,0,1044,20,1,Medium
11,Weekend,Rain,1,899,17,1,Medium
7,Weekday,Clear,1,2270,45,2,High
22,Weekend,Clear,1,1724,34,1,High
23,Weekday,Fog,1,815,16,4,Medium
11,Weekend,Fog,1,1009,20,2,Medium
17,Weekend,Fog,1,2355,47,1,High
7,Weekday,Clear,1,1573,31,4,High
20,Weekend,Rain,1,2226,44,1,High
19,Weekend,Clear,1,2139,42,1,High
14,Weekend,Clear,1,1267,25,2,Medium
17,Weekday,Clear,0,1675,33,1,High
17,Weekend,Clear,1,2291,45,3,High
11,Weekday,Fog,0,105,2,1,Low
4,Weekend,Rain,0,1116,22,3,Medium
20,Weekend,Fog,1,2129,42,1,High
8,Weekday,Rain,0,1259,25,1,Medium
14,Weekday,Clear,0,729,14,2,Medium
14,Weekday,Fog,0,100,2,4,Low
23,Weekend,Fog,1,1065,21,3,Medium
12,Weekend,Fog,0,705,14,3,Medium
7,Weekday,Rain,1,2308,46,4,High
9,Weekend,Clear,0,1809,36,1,High
23,Weekend,Clear,0,930,18,1,Medium
5,Weekend,Rain,1,1498,29,1,Medium
22,Weekday,Fog,0,570,11,3,Low
0,Weekday,Clear,1,777,15,2,Medium
18,Weekday,Clear,0,1725,34,4,High
5,Weekend,Clear,1,1539,30,4,High
9,Weekend,Clear,1,2704,54,2,High
17,Weekend,Clear,0,1722,34,1,High
12,Weekday,Fog,0,456,9,4,Low
14,Weekday,Clear,0,389,7,2,Low
0,Weekday,Clear,1,1062,21,2,Medium
3,Weekend,Rain,1,1134,22,1,Medium
5,Weekday,Fog,1,1000,20,2,Medium
20,Weekday,Rain,1,1349,26,1,Medium
21,Weekday,Fog,1,2034,40,3,High
0,Weekday,Fog,0,513,10,4,Low
12,Weekend,Rain,0,534,10,2,Low
12,Weekday,Rain,1,654,13,3,Low
7,Weekday,Rain,0,1862,37,4,High
7,Weekend,Clear,0,2312,46,2,High
1,Weekday,Rain,1,635,12,3,Low
14,Weekday,Rain,0,259,5,1,Low
13,Weekday,Clear,1,820,16,3,Medium
5,Weekday,Clear,0,929,18,4,Medium
19,Weekday,Clear,0,1965,39,4,High
2,Weekend,Fog,1,1397,27,2,Medium
7,Weekend,Rain,1,1753,35,3,High
23,Weekday,Rain,1,666,13,2,Low
1,Weekday,Clear,1,1249,24,4,Medium
15,Weekend,Rain,1,1063,21,4,Medium
6,Weekend,Rain,0,1477,29,2,Medium
21,Weekday,Clear,0,1646,32,4,High
10,Weekend,Fog,0,2103,42,3,High
8,Weekday,Fog,1,1922,38,1,High
0,Weekday,Rain,1,800,16,1,Medium
12,Weekday,Clear,0,698,13,4,Low
20,Weekday,Fog,1,1299,25,3,Medium
11,Weekday,Clear,1,1208,24,4,Medium
14,Weekday,Clear,1,1203,24,3,Medium
20,Weekend,Rain,0,1751,35,3,High
3,Weekday,Rain,1,765,15,4,Medium
5,Weekday,Clear,0,538,10,2,Low
1,Weekend,Fog,1,1098,21,4,Medium
23,Weekend,Rain,1,1434,28,4,Medium
20,Weekday,Fog,1,2017,40,2,High
2,Weekend,Rain,1,1295,25,2,Medium
13,Weekday,Fog,1,603,12,3,Low
4,Weekend,Fog,1,1194,23,4,Medium
21,Weekday,Fog,1,1270,25,1,Medium
13,Weekend,Clear,0,1031,20,1,Medium
19,Weekend,Rain,0,1745,34,3,High
7,Weekday,Clear,1,1940,38,2,High
0,Weekend,Fog,1,797,15,3,Medium
14,Weekend,Clear,0,1322,26,2,Medium
14,Weekend,Clear,0,708,14,1,Medium
23,Weekend,Clear,0,742,14,4,Medium
0,Weekend,Clear,1,1124,22,4,Medium
8,Weekday,Clear,0,1917,38,3,High
5,Weekday,Clear,1,1369,27,4,Medium
2,Weekend,Fog,0,519,10,4,Low
19,Weekday,Rain,0,1401,28,1,Medium
2,Weekday,Clear,0,636,12,4,Low
21,Weekend,Fog,0,1599,31,4,High
13,Weekday,Rain,0,278,5,1,Low
13,Weekend,Clear,1,1671,33,3,High
22,Weekday,Fog,0,100,2,4,Low
9,Weekday,Rain,1,2156,43,1,High
17,Weekend,Fog,1,1947,38,2,High
23,Weekend,Fog,1,1190,23,3,Medium
6,Weekday,Rain,1,2181,43,3,High
23,Weekend,Rain,1,1272,25,4,Medium
10,Weekday,Rain,1,1554,31,1,High
21,Weekend,Fog,0,2015,40,3,High
19,Weekday,Fog,0,906,18,4,Medium
7,Weekday,Rain,0,1922,38,4,High
2,Weekday,Fog,0,712,14,1,Medium
22,Weekend,Rain,1,1484,29,1,Medium
20,Weekday,Rain,0,1236,24,3,Medium
1,Weekend,Clear,1,1735,34,3,High
14,Weekday,Rain,1,1027,20,2,Medium
2,Weekday,Fog,1,1092,21,1,Medium
20,Weekend,Rain,1,1965,39,2,High
20,Weekend,Clear,1,2790,55,2,High
9,Weekday,Clear,0,1854,37,4,High
23,Weekday,Clear,1,739,14,1,Medium
4,Weekday,Fog,1,506,10,3,Low
6,Weekday,Clear,0,1761,35,2,High
13,Weekday,Rain,1,718,14,1,Medium
20,Weekend,Rain,0,1777,35,2,High
0,Weekday,Fog,0,709,14,3,Medium
19,Weekend,Fog,1,2490,49,4,High
10,Weekend,Clear,1,2147,42,4,High
21,Weekend,Clear,1,1931,38,1,High
8,Weekend,Fog,1,2313,46,1,High
17,Weekend,Fog,0,1326,26,1,Medium
3,Weekend,Clear,1,1083,21,3,Medium
19,Weekday,Clear,1,1855,37,2,High
11,Weekday,Clear,0,788,15,4,Medium
10,Weekday,Rain,0,1211,24,1,Medium
11,Weekday,Rain,1,551,11,1,Low
9,Weekend,Clear,1,1899,37,2,High
7,Weekday,Fog,1,1723,34,3,High
9,Weekday,Clear,0,2113,42,1,High
6,Weekday,Clear,1,2185,43,3,High
6,Weekday,Rain,0,1362,27,2,Medium
18,Weekend,Clear,0,1499,29,2,Medium
8,Weekday,Fog,1,1678,33,1,High
5,Weekday,Fog,0,100,2,3,Low
23,Weekend,Rain,1,1194,23,2,Medium
22,Weekday,Rain,1,1197,23,3,Medium
5,Weekend,Fog,0,447,8,2,Low
9,Weekday,Rain,0,1378,27,3,Medium
19,Weekday,Clear,0,1516,30,2,High
16,Weekday,Fog,0,258,5,1,Low
1,Weekday,Rain,0,342,6,1,Low
14,Weekday,Fog,1,979,19,1,Medium
14,Weekend,Rain,0,797,15,1,Medium
5,Weekday,Clear,1,1303,26,2,Medium
7,Weekend,Clear,1,1987,39,3,High
3,Weekday,Clear,1,1185,23,4,Medium
2,Weekend,Clear,1,1471,29,4,Medium
14,Weekday,Fog,0,570,11,1,Low
16,Weekend,Fog,0,501,10,4,Low
16,Weekday,Clear,1,831,16,1,Medium
2,Weekend,Fog,0,916,18,4,Medium
20,Weekend,Fog,0,1863,37,1,High
23,Weekday,Fog,0,181,3,4,Low
6,Weekend,Fog,1,2064,41,4,High
2,Weekday,Fog,0,339,6,1,Low
4,Weekday,Rain,1,1132,22,3,Medium
20,Weekday,Rain,0,1928,38,4,High
0,Weekday,Rain,1,745,14,2,Medium
10,Weekend,Fog,1,1787,35,3,High
8,Weekday,Fog,0,1322,26,4,Medium
21,Weekday,Rain,0,1653,33,4,High
11,Weekday,Rain,0,393,7,1,Low
13,Weekday,Rain,1,816,16,1,Medium
2,Weekday,Fog,0,715,14,4,Medium
10,Weekend,Fog,1,1866,37,4,High
15,Weekend,Rain,0,585,11,2,Low
9,Weekday,Rain,1,1756,35,3,High
14,Weekend,Fog,0,782,15,1,Medium
2,Weekend,Rain,1,1464,29,3,Medium
16,Weekday,Rain,0,406,8,1,Low
21,Weekend,Clear,1,2835,56,2,High
13,Weekday,Rain,0,301,6,1,Low
8,Weekend,Rain,1,1809,36,1,High
10,Weekend,Fog,1,1972,39,4,High
0,Weekday,Clear,1,907,18,1,Medium
5,Weekday,Clear,0,1030,20,3,Medium
5,Weekday,Fog,0,382,7,3,Low
19,Weekday,Fog,1,1986,39,3,High
18,Weekend,Fog,1,1717,34,2,High
0,Weekday,Rain,1,1063,21,1,Medium
20,Weekday,Clear,0,1432,28,2,Medium
1,Weekend,Rain,0,979,19,3,Medium
12,Weekday,Clear,1,1313,26,4,Medium
13,Weekday,Clear,1,883,17,2,Medium
17,Weekend,Clear,1,2604,52,2,High
23,Weekend,Clear,0,973,19,1,Medium
12,Weekday,Rain,0,338,6,2,Low
4,Weekday,Clear,0,658,13,1,Low
0,Weekday,Clear,0,898,17,3,Medium
16,Weekday,Fog,1,541,10,1,Low
16,Weekend,Fog,1,1026,20,3,Medium
8,Weekend,Fog,0,1501,30,1,High
2,Weekday,Fog,0,695,13,4,Low
5,Weekend,Rain,1,1056,21,4,Medium
0,Weekend,Rain,1,1246,24,4,Medium
20,Weekend,Clear,1,2307,46,1,High
11,Weekend,Clear,0,1070,21,4,Medium
8,Weekday,Fog,0,1281,25,2,Medium
17,Weekend,Fog,0,1649,32,1,High
15,Weekday,Fog,0,570,11,3,Low
18,Weekday,Clear,1,1759,35,1,High
3,Weekday,Clear,1,934,18,4,Medium
