time,day_type,weather,event_day,passengers,flight_count,avg_luggage,crowd
2,Weekday,Rain,1,1024,20,1,Medium
18,Weekday,Clear,0,1079,21,3,Medium
19,Weekend,Fog,1,1727,34,1,High
19,Weekday,Clear,1,2416,48,2,High
10,Weekday,Fog,1,2109,42,3,High
0,Weekend,Fog,0,265,5,4,Low
17,Weekend,Rain,0,1575,31,4,High
19,Weekday,Fog,1,1400,28,3,Medium
10,Weekday,Fog,0,1011,20,1,Medium
12,Weekend,Fog,1,973,19,4,Medium
18,Weekday,Fog,0,1476,29,3,Medium
4,Weekend,Rain,1,1127,22,3,Medium
8,Weekday,Clear,0,1559,31,4,High
20,Weekday,Clear,1,2271,45,2,High
7,Weekend,Fog,1,1784,35,3,High
17,Weekend,Fog,0,1354,27,2,Medium
4,Weekday,Rain,0,179,3,1,Low
13,Weekend,Rain,1,1285,25,3,Medium
1,Weekday,Rain,1,1021,20,4,Medium
17,Weekday,Fog,0,984,19,3,Medium
10,Weekend,Fog,1,1666,33,4,High
0,Weekend,Fog,0,697,13,4,Low
17,Weekday,Clear,1,2082,41,4,High
22,Weekday,Fog,1,396,7,4,Low
20,Weekend,Rain,0,1591,31,1,High
8,Weekend,Rain,1,2110,42,2,High
9,Weekend,Fog,0,1867,37,4,High
22,Weekday,Clear,1,656,13,2,Low
14,Weekend,Clear,0,608,12,3,Low
4,Weekend,Fog,1,746,14,4,Medium
3,Weekend,Fog,0,799,15,4,Medium
7,Weekday,Fog,1,1415,28,4,Medium
17,Weekday,Rain,0,1041,20,1,Medium
6,Weekend,Clear,0,1583,31,2,High
9,Weekend,Rain,0,1531,30,2,High
1,Weekend,Clear,0,1136,22,1,Medium
3,Weekend,Rain,0,867,17,1,Medium
10,Weekend,Fog,0,1042,20,4,Medium
15,Weekday,Clear,1,942,18,2,Medium
2,Weekend,Fog,0,751,15,4,Medium
20,Weekday,Clear,0,2035,40,4,High
23,Weekday,Clear,1,1219,24,4,Medium
2,Weekend,Clear,0,1013,20,3,Medium
12,Weekend,Fog,1,736,14,1,Medium
0,Weekday,Clear,1,743,14,4,Medium
10,Weekend,Fog,0,1975,39,3,High
7,Weekend,Fog,0,1458,29,2,Medium
22,Weekday,Rain,1,1100,22,3,Medium
13,Weekend,Clear,0,564,11,1,Low
9,Weekend,Rain,1,2351,47,4,High
1,Weekend,Fog,0,291,5,4,Low
11,Weekend,Rain,0,360,7,1,Low
12,Weekend,Rain,0,918,18,1,Medium
18,Weekday,Rain,0,1592,31,1,High
2,Weekday,Rain,1,791,15,3,Medium
12,Weekday,Rain,0,100,2,4,Low
5,Weekday,Rain,0,677,13,1,Low
7,Weekday,Rain,0,1779,35,2,High
13,Weekday,Rain,1,715,14,1,Medium
7,Weekday,Rain,0,1020,20,1,Medium
3,Weekend,Fog,0,656,13,2,Low
8,Weekday,Fog,1,1989,39,4,High
15,Weekday,Rain,1,952,19,4,Medium
8,Weekend,Fog,0,2027,40,2,High
12,Weekday,Clear,0,419,8,4,Low
10,Weekday,Clear,0,1482,29,4,Medium
12,Weekday,Rain,0,654,13,2,Low
10,Weekday,Clear,0,1194,23,4,Medium
20,Weekend,Fog,1,1498,29,4,Medium
8,Weekend,Rain,0,1303,26,1,Medium
21,Weekday,Fog,0,1090,21,1,Medium
9,Weekday,Clear,1,1759,35,3,High
11,Weekend,Rain,0,770,15,1,Medium
13,Weekend,Rain,0,1015,20,4,Medium
4,Weekday,Rain,1,680,13,1,Low
18,Weekday,Clear,0,1263,25,1,Medium
15,Weekday,Fog,0,100,2,1,Low
19,Weekday,Fog,1,2093,41,2,High
14,Weekend,Fog,1,1310,26,2,Medium
2,Weekend,Rain,1,953,19,1,Medium
18,Weekend,Fog,1,1724,34,3,High
13,Weekend,Fog,1,1226,24,4,Medium
13,Weekend,Clear,1,1596,31,4,High
4,Weekend,Rain,1,1362,27,3,Medium
6,Weekend,Fog,0,1358,27,4,Medium
17,Weekday,Clear,1,2056,41,1,High
9,Weekend,Rain,1,1693,33,2,High
0,Weekday,Rain,1,863,17,4,Medium
1,Weekend,Rain,0,708,14,3,Medium
14,Weekday,Rain,1,445,8,3,Low
19,Weekend,Rain,1,2146,42,4,High
8,Weekend,Fog,1,2041,40,3,High
2,Weekday,Rain,1,520,10,2,Low
19,Weekend,Rain,1,2436,48,3,High
3,Weekend,Fog,1,793,15,1,Medium
0,Weekday,Fog,0,171,3,2,Low
15,Weekday,Rain,0,401,8,2,Low
17,Weekday,Fog,1,1664,33,4,High
0,Weekday,Clear,0,477,9,4,Low
12,Weekday,Rain,0,100,2,1,Low
12,Weekend,Clear,0,859,17,4,Medium
6,Weekday,Rain,0,1773,35,2,High
7,Weekday,Rain,0,1137,22,1,Medium
14,Weekend,Rain,1,983,19,2,Medium
10,Weekend,Fog,1,2289,45,2,High
20,Weekday,Fog,0,1233,24,4,Medium
11,Weekday,Clear,1,1026,20,2,Medium
4,Weekday,Fog,0,100,2,4,Low
0,Weekend,Rain,1,1137,22,3,Medium
12,Weekend,Rain,0,626,12,1,Low
1,Weekend,Rain,0,464,9,1,Low
16,Weekend,Rain,0,917,18,1,Medium
16,Weekday,Rain,0,340,6,3,Low
9,Weekday,Rain,1,1256,25,4,Medium
5,Weekday,Clear,1,1235,24,2,Medium
9,Weekday,Clear,1,1834,36,1,High
18,Weekday,Rain,0,1467,29,2,Medium
21,Weekend,Rain,1,1916,38,2,High
3,Weekday,Fog,0,490,9,3,Low
13,Weekday,Rain,0,543,10,3,Low
7,Weekend,Clear,0,2049,40,2,High
0,Weekday,Clear,0,866,17,3,Medium
15,Weekend,Fog,0,801,16,4,Medium
13,Weekday,Rain,1,797,15,2,Medium
21,Weekend,Rain,0,1480,29,3,Medium
16,Weekday,Rain,0,122,2,1,Low
12,Weekend,Clear,1,1194,23,2,Medium
14,Weekday,Rain,1,667,13,1,Low
8,Weekend,Clear,0,1825,36,4,High
10,Weekend,Fog,1,2375,47,1,High
16,Weekend,Rain,1,741,14,2,Medium
20,Weekend,Fog,0,1830,36,3,High
5,Weekday,Clear,1,1147,22,2,Medium
19,Weekday,Rain,0,1469,29,3,Medium
15,Weekend,Fog,0,659,13,1,Low
19,Weekday,Clear,0,1078,21,3,Medium
9,Weekend,Fog,1,1750,35,1,High
6,Weekday,Fog,1,1869,37,1,High
19,Weekday,Clear,1,1570,31,3,High
18,Weekday,Fog,0,899,17,3,Medium
13,Weekend,Rain,1,1012,20,1,Medium
22,Weekday,Rain,1,1074,21,1,Medium
11,Weekend,Rain,0,969,19,1,Medium
12,Weekday,Fog,0,556,11,2,Low
18,Weekday,Fog,0,1390,27,2,Medium
21,Weekend,Rain,0,1976,39,2,High
4,Weekday,Fog,1,904,18,2,Medium
2,Weekend,Fog,0,699,13,2,Low
3,Weekday,Rain,1,980,19,2,Medium
6,Weekend,Clear,1,2658,53,3,High
20,Weekday,Rain,1,1819,36,2,High
4,Weekday,Clear,1,1209,24,1,Medium
4,Weekend,Rain,1,887,17,3,Medium
16,Weekday,Rain,1,500,10,4,Low
3,Weekend,Rain,1,1161,23,2,Medium
13,Weekday,Rain,0,392,7,1,Low
9,Weekday,Rain,0,1520,30,4,High
0,Weekday,Clear,1,986,19,2,Medium
